employee_id,department,job_level,employment_type,work_mode,age,tenure_years,annual_salary_usd,workload_score,overtime_hours_month,manager_support_score,promotion_wait_years,promotion_count,training_hours_year,satisfaction_score,engagement_score,performance_score,absenteeism_days_year,attrition
EMP-00049,Marketing,Senior,Full-time,On-site,34,6.5,98400,8.5,8.6,5.6,4.2,1,41.2,4.8,6.2,6.1,0.0,0
EMP-00050,Finance,Mid,Full-time,Remote,26,3.9,82100,6.9,15.8,6.8,1.4,1,27.3,6.4,6.8,6.5,7.9,0
EMP-00051,Finance,Senior,Full-time,On-site,37,6.2,97700,3.5,0.0,8.5,4.6,1,19.1,7.4,7.7,8.5,3.2,0
EMP-00052,Sales,Entry,Full-time,Hybrid,21,0.2,41100,7.1,11.6,6.3,0.1,0,41.2,4.9,5.1,6.6,2.0,1
EMP-00053,Customer Success,Manager,Part-time,Hybrid,47,11.4,111700,7.1,10.4,9.6,6.3,4,33.4,6.4,5.9,7.1,9.8,0
EMP-00054,Customer Success,Entry,Full-time,On-site,24,0.2,51500,6.5,15.5,6.3,0.1,1,22.2,5.5,6.5,8.6,11.7,1
EMP-00055,Customer Success,Mid,Full-time,Remote,23,3.8,49300,4.6,0.0,6.1,0.1,1,22.1,6.1,7.2,6.7,2.3,0
EMP-00056,Marketing,Senior,Full-time,Hybrid,39,9.5,93300,4.7,7.1,6.6,6.5,3,33.8,7.1,7.1,7.3,7.1,0
EMP-00057,Finance,Mid,Full-time,Hybrid,23,1.5,55100,2.6,2.5,8.5,0.1,0,14.7,9.4,7.9,9.8,4.0,0
EMP-00058,Customer Success,Manager,Full-time,Hybrid,33,7.4,121900,6.8,14.7,6.0,4.9,2,20.1,7.5,5.9,6.4,6.0,1
EMP-00059,Engineering,Mid,Full-time,On-site,28,4.7,67000,7.5,15.3,8.1,3.3,1,15.7,6.0,5.5,6.8,9.5,1
EMP-00060,Operations,Entry,Part-time,Hybrid,37,1.7,38900,5.7,14.0,3.2,1.0,0,23.2,5.2,6.3,8.3,6.3,0
EMP-00061,Customer Success,Senior,Full-time,Hybrid,38,7.8,95200,8.1,20.5,8.2,3.1,3,26.8,5.4,7.6,8.5,4.8,0
EMP-00062,Sales,Senior,Full-time,Hybrid,36,8.1,82100,5.8,8.4,7.0,6.5,2,14.2,5.8,6.1,7.3,1.9,0
EMP-00063,Customer Success,Mid,Full-time,Hybrid,25,5.9,65000,6.3,7.2,5.7,5.2,2,27.6,6.1,5.0,6.3,0.9,0
EMP-00064,Engineering,Entry,Full-time,On-site,22,1.1,52800,7.2,7.2,6.0,0.1,1,32.0,4.8,5.6,5.7,11.0,0
EMP-00065,HR,Mid,Full-time,Hybrid,33,3.1,66600,6.9,17.6,7.4,1.4,1,6.8,5.6,6.1,7.7,7.5,0
EMP-00066,HR,Mid,Full-time,Hybrid,36,7.5,78900,7.8,8.7,7.5,5.4,2,13.8,6.5,7.1,6.6,5.6,0
EMP-00067,Engineering,Senior,Full-time,Hybrid,32,6.6,86300,5.5,5.9,5.0,3.2,1,34.8,6.4,6.0,6.7,7.1,0
EMP-00068,Sales,Senior,Full-time,Hybrid,41,7.3,95400,7.1,11.2,8.9,4.6,2,25.2,6.8,7.5,8.0,7.4,0
EMP-00069,Marketing,Mid,Full-time,Hybrid,40,7.8,74100,7.4,3.4,6.3,5.5,2,14.7,3.5,5.1,7.1,6.1,0
EMP-00070,Sales,Manager,Full-time,On-site,41,11.6,107200,6.5,3.9,3.7,9.4,3,18.4,3.6,6.0,7.0,0.6,1
EMP-00071,Finance,Mid,Part-time,Hybrid,28,4.4,78200,4.1,0.0,8.2,1.8,1,21.9,7.0,7.5,8.3,6.8,0
EMP-00072,Customer Success,Mid,Full-time,Hybrid,35,3.1,73800,5.6,6.9,5.5,0.1,1,23.8,6.9,6.3,6.4,4.5,0
EMP-00073,Operations,Mid,Full-time,Remote,26,3.8,69800,4.8,0.0,7.2,2.7,2,14.3,7.9,7.0,7.0,3.3,0
EMP-00074,HR,Entry,Full-time,Remote,30,0.2,51800,5.1,1.1,7.8,0.1,0,22.7,7.9,7.1,7.0,3.8,0
EMP-00075,Operations,Entry,Full-time,Hybrid,34,4.1,41500,7.1,10.2,4.5,0.8,1,45.9,7.8,5.1,6.3,5.5,0
EMP-00076,Finance,Entry,Full-time,Remote,26,2.8,61100,5.8,0.8,5.0,0.3,0,17.9,4.1,6.8,7.3,0.0,0
EMP-00077,Engineering,Entry,Full-time,Hybrid,25,0.2,60100,7.0,15.4,9.7,0.1,1,39.1,5.1,4.5,5.1,8.7,0
EMP-00078,HR,Manager,Full-time,On-site,34,6.0,119300,5.2,0.0,9.3,3.2,1,27.0,8.5,7.2,6.7,5.2,0
EMP-00079,Engineering,Entry,Full-time,Hybrid,26,1.3,61900,9.1,21.6,7.7,0.1,0,14.7,4.7,6.4,6.0,6.5,1
EMP-00080,Sales,Senior,Full-time,Hybrid,42,7.1,87700,3.6,0.8,8.5,5.3,2,25.8,10.0,7.9,10.0,0.0,0
EMP-00081,Sales,Senior,Full-time,Remote,42,8.3,86500,8.0,14.2,5.7,5.8,2,25.5,4.1,5.3,5.4,7.3,1
EMP-00082,Marketing,Mid,Full-time,On-site,27,2.7,67500,7.2,7.7,4.0,1.9,0,24.8,5.9,3.8,4.4,8.9,0
EMP-00083,Customer Success,Mid,Full-time,Hybrid,30,4.4,57200,6.8,11.7,7.4,0.1,1,22.9,6.9,6.8,5.4,10.9,0
EMP-00084,Engineering,Senior,Full-time,Hybrid,48,7.4,93800,6.6,1.6,6.1,3.9,3,25.7,6.3,6.7,8.9,3.9,0
EMP-00085,Engineering,Entry,Full-time,Hybrid,30,3.9,44300,5.9,3.1,8.3,2.1,2,36.6,8.5,8.7,9.1,4.8,0
EMP-00086,Finance,Mid,Full-time,Remote,21,2.1,73500,4.5,3.3,7.6,0.1,1,28.3,8.3,7.4,7.0,4.5,0
EMP-00087,Customer Success,Entry,Full-time,Hybrid,29,1.8,50500,8.1,16.6,5.8,0.1,0,41.6,5.1,5.5,7.0,4.7,0
EMP-00088,Finance,Entry,Full-time,Hybrid,30,3.6,53200,4.5,0.0,5.6,1.0,1,35.5,6.8,8.5,6.1,7.0,0
EMP-00089,Finance,Mid,Full-time,On-site,21,0.3,58500,4.3,1.1,8.5,0.1,1,25.0,10.0,9.2,5.9,3.6,0
EMP-00090,Operations,Mid,Full-time,Remote,30,4.4,58000,5.6,6.3,8.4,2.7,1,0.0,6.3,7.9,7.5,1.5,0
EMP-00091,HR,Senior,Full-time,On-site,30,7.4,78600,6.9,8.8,5.8,4.0,2,38.8,7.6,7.5,7.0,1.1,0
EMP-00092,Engineering,Senior,Full-time,Hybrid,34,4.7,70300,6.0,5.2,7.7,0.2,1,8.8,8.2,7.4,6.9,6.7,0
EMP-00093,HR,Mid,Full-time,Hybrid,33,3.3,85400,7.9,4.6,8.5,2.0,1,19.3,7.9,10.0,8.1,3.0,0
EMP-00094,Operations,Senior,Full-time,On-site,32,7.4,93500,7.8,18.2,5.0,3.8,3,18.5,4.4,6.1,6.4,4.7,0
EMP-00095,Finance,Senior,Full-time,Remote,41,7.4,86600,9.1,12.2,2.1,2.5,2,23.9,4.4,5.3,7.3,9.7,1
EMP-00096,Marketing,Senior,Full-time,Remote,37,4.2,83400,7.7,15.2,4.7,1.2,1,22.2,5.5,6.2,6.6,6.3,0
EMP-00097,Finance,Manager,Full-time,On-site,35,7.6,110500,7.4,4.3,6.8,4.2,2,19.7,7.3,5.8,7.7,0.8,0
EMP-00098,HR,Entry,Full-time,Hybrid,27,1.7,45700,5.8,13.7,5.3,0.5,0,38.8,8.2,5.0,5.2,10.4,0
EMP-00099,Sales,Mid,Full-time,Hybrid,34,2.3,80400,7.6,6.4,4.8,0.1,1,18.9,7.3,5.2,5.6,4.8,0
EMP-00100,Finance,Mid,Full-time,Hybrid,29,2.0,77900,6.4,7.3,7.6,3.7,0,15.5,6.6,5.0,5.5,8.5,0
EMP-00101,Operations,Entry,Full-time,On-site,41,5.2,34000,6.7,9.7,7.8,4.9,1,24.5,8.8,6.3,8.1,3.8,0
EMP-00102,Engineering,Senior,Full-time,Hybrid,35,7.3,97500,6.1,0.0,6.9,4.9,2,14.9,5.7,5.9,7.4,4.6,0
EMP-00103,Finance,Entry,Full-time,Hybrid,33,3.7,53100,5.1,14.8,7.4,0.1,1,17.7,6.4,5.0,8.0,7.7,0
EMP-00104,Customer Success,Entry,Full-time,On-site,35,2.8,43700,7.1,10.1,6.8,0.1,0,27.8,7.7,7.0,7.5,9.4,0
EMP-00105,Operations,Senior,Full-time,Remote,49,10.2,88300,7.3,26.6,8.3,7.0,3,12.1,6.1,5.5,8.1,11.7,1
EMP-00106,Engineering,Manager,Full-time,Hybrid,34,6.1,116400,8.3,19.2,6.0,1.2,1,28.8,6.8,5.7,6.1,6.0,0
EMP-00107,Finance,Senior,Full-time,On-site,36,4.2,85500,8.2,19.5,4.8,0.1,1,31.1,3.0,4.3,5.2,15.3,0
EMP-00108,Operations,Senior,Full-time,On-site,36,7.2,97500,8.5,2.4,7.0,3.9,2,26.0,7.5,5.8,6.0,13.6,0
EMP-00109,Finance,Mid,Full-time,Hybrid,37,4.8,68900,7.4,15.9,4.3,0.1,2,41.7,4.9,4.2,5.8,8.0,0
EMP-00110,Sales,Mid,Full-time,On-site,24,1.6,50800,7.9,2.4,4.3,0.1,1,16.7,6.7,3.4,5.5,9.1,0
EMP-00111,Marketing,Mid,Part-time,Remote,29,0.2,63300,9.1,17.6,8.9,0.1,0,25.4,5.5,4.2,7.4,13.1,0
EMP-00112,Sales,Entry,Full-time,Hybrid,26,2.8,34500,6.0,4.3,8.1,0.1,0,41.5,7.7,5.9,7.5,6.7,0
EMP-00113,Marketing,Entry,Full-time,Hybrid,32,1.7,51300,6.9,7.2,6.1,0.1,0,28.0,7.0,6.4,4.3,3.5,0
EMP-00114,Engineering,Entry,Full-time,Hybrid,28,2.5,62000,6.2,2.2,6.4,0.1,0,43.6,6.8,6.7,8.3,1.1,0
EMP-00115,Sales,Senior,Full-time,On-site,37,4.2,81500,6.8,9.8,7.0,2.5,1,18.6,6.6,6.4,5.1,6.1,0
EMP-00116,Engineering,Entry,Full-time,Remote,28,4.1,53100,7.3,5.9,6.2,1.2,2,19.8,6.0,6.8,8.1,7.5,0
EMP-00117,Engineering,Mid,Full-time,Hybrid,40,6.1,71100,6.0,3.1,6.8,0.7,1,3.5,8.8,6.2,6.7,3.8,0
EMP-00118,Finance,Manager,Full-time,On-site,44,9.4,124200,5.0,0.0,8.2,7.0,2,18.3,7.0,7.8,8.5,7.5,0
EMP-00119,Sales,Senior,Full-time,Hybrid,29,7.8,91200,4.7,8.0,7.5,5.9,2,19.1,6.4,7.0,9.4,3.5,0
EMP-00120,Customer Success,Entry,Full-time,On-site,22,3.5,51000,5.4,9.5,6.7,0.1,1,29.7,7.1,8.1,6.1,6.2,0
EMP-00121,Marketing,Senior,Full-time,On-site,39,6.2,93400,5.5,16.3,8.5,4.5,1,31.4,6.7,5.6,8.3,6.4,0
EMP-00122,Operations,Senior,Full-time,On-site,29,4.7,90700,6.3,13.2,6.0,0.1,1,16.7,4.3,5.9,6.2,5.4,0
EMP-00123,Sales,Entry,Full-time,Hybrid,25,0.2,41100,5.4,1.3,7.9,0.1,1,33.3,6.9,6.4,5.2,0.7,0
EMP-00124,Sales,Entry,Full-time,Hybrid,28,2.8,49500,6.5,8.7,5.6,0.1,0,30.9,5.1,5.3,6.9,6.6,0
EMP-00125,Sales,Senior,Full-time,Hybrid,34,7.9,99500,7.0,18.3,7.9,9.2,3,22.2,6.9,7.9,6.0,7.4,0
EMP-00126,Engineering,Senior,Full-time,Hybrid,53,9.3,85800,7.2,13.5,7.9,5.0,2,23.9,5.8,6.1,6.7,8.6,0
EMP-00127,Marketing,Senior,Full-time,Hybrid,41,6.7,79100,5.4,0.0,4.2,1.0,1,10.0,7.3,5.5,8.1,4.2,0
EMP-00128,Operations,Mid,Full-time,Hybrid,28,1.5,62400,6.7,7.7,6.1,0.1,0,15.6,5.5,5.6,7.9,5.5,0
EMP-00129,Customer Success,Entry,Full-time,Hybrid,24,3.8,57500,5.1,8.8,7.0,2.5,1,34.9,7.7,6.8,8.2,4.1,0
EMP-00130,Finance,Manager,Full-time,On-site,44,6.7,102800,4.3,0.1,5.6,2.0,1,25.3,7.3,8.7,6.6,3.6,0
EMP-00131,HR,Entry,Full-time,Hybrid,35,3.5,44100,7.6,6.0,8.6,0.8,1,27.3,8.9,7.6,7.9,10.6,0
EMP-00132,Marketing,Senior,Full-time,On-site,40,6.9,70700,5.1,0.0,8.7,3.4,2,28.4,7.0,7.8,8.1,0.0,0
EMP-00133,Operations,Senior,Part-time,On-site,35,4.2,93600,3.8,2.7,6.3,0.1,1,32.2,5.7,5.6,7.9,0.0,0
EMP-00134,Operations,Mid,Full-time,On-site,35,3.4,74200,6.3,6.7,6.0,0.1,0,21.5,6.2,6.9,7.6,3.4,0
EMP-00135,Engineering,Mid,Full-time,On-site,30,7.5,78000,6.2,3.1,4.9,4.3,2,34.2,7.0,6.2,7.1,3.8,0
EMP-00136,Marketing,Entry,Full-time,Remote,31,2.3,42000,5.2,5.1,8.8,0.6,0,26.8,6.8,6.7,5.4,3.0,0
EMP-00137,Marketing,Entry,Full-time,Remote,23,1.7,53800,6.3,9.4,6.0,0.1,1,28.4,6.8,5.8,7.4,3.3,0
EMP-00138,Operations,Entry,Part-time,Hybrid,29,4.3,44300,8.6,25.0,6.3,0.3,1,16.0,4.5,5.8,7.5,11.3,1
EMP-00139,Sales,Senior,Full-time,Hybrid,43,7.5,81100,6.4,9.0,6.4,3.9,3,23.9,6.1,5.7,6.8,5.1,0
EMP-00140,Marketing,Entry,Full-time,Hybrid,29,3.0,34100,5.8,7.7,6.4,0.1,1,22.5,5.7,5.8,5.9,0.7,0
EMP-00141,Finance,Mid,Full-time,Hybrid,31,2.7,58700,6.2,7.9,6.0,1.1,1,28.9,6.9,8.0,7.5,9.5,0
EMP-00142,Customer Success,Mid,Full-time,On-site,33,6.6,51400,8.3,14.9,4.8,2.8,1,25.1,4.7,4.5,5.6,12.8,0
EMP-00143,Engineering,Manager,Full-time,Hybrid,36,7.4,120600,6.6,9.0,6.5,3.0,2,13.6,6.6,6.2,8.1,10.7,0
EMP-00144,Sales,Mid,Part-time,On-site,29,2.1,75500,7.4,0.0,8.4,0.1,0,10.3,6.6,8.8,9.2,7.5,0
EMP-00145,HR,Mid,Full-time,Hybrid,32,4.1,52000,6.9,18.5,8.7,2.8,1,28.9,7.0,6.5,7.4,6.6,0
EMP-00146,Engineering,Senior,Full-time,Hybrid,35,7.0,104700,4.1,14.2,7.4,3.1,2,14.5,6.8,6.3,6.5,4.5,0
EMP-00147,Engineering,Mid,Full-time,Hybrid,36,5.0,71000,7.6,0.0,7.4,1.7,1,13.4,6.8,8.3,6.4,3.7,0
EMP-00148,Sales,Senior,Full-time,On-site,28,5.2,82800,4.3,5.6,6.1,4.8,2,31.6,6.5,4.4,7.0,6.6,0
EMP-00149,Engineering,Entry,Full-time,Hybrid,43,3.6,48200,6.7,2.6,7.1,2.1,1,27.6,5.6,6.1,4.9,3.6,0
EMP-00150,Sales,Entry,Full-time,Hybrid,26,0.2,54200,4.3,0.0,6.5,0.4,0,24.9,6.7,8.5,5.7,0.0,0
EMP-00151,HR,Manager,Full-time,Hybrid,32,7.8,106800,6.0,3.8,7.4,4.0,2,35.6,5.2,4.3,7.1,0.8,1
EMP-00152,Sales,Mid,Full-time,Hybrid,29,1.2,70000,6.9,0.2,8.3,0.1,0,23.4,8.4,6.3,5.9,5.0,0
EMP-00153,Finance,Mid,Full-time,Hybrid,33,4.5,63100,6.5,10.0,7.9,0.7,1,16.3,7.4,5.5,7.6,8.1,0
EMP-00154,Sales,Entry,Full-time,Hybrid,21,0.2,39600,6.1,5.2,6.8,0.1,0,22.0,5.4,5.9,5.1,6.5,0
EMP-00155,Marketing,Mid,Full-time,On-site,32,6.4,55800,6.9,7.9,5.4,2.3,2,15.5,6.0,6.2,6.4,4.5,0
EMP-00156,Engineering,Senior,Full-time,On-site,33,4.6,92300,5.6,7.9,8.2,0.1,1,50.9,7.6,5.4,8.6,9.7,0
EMP-00157,Operations,Manager,Full-time,Hybrid,43,8.3,91800,5.4,2.2,5.8,7.3,2,39.4,5.7,4.9,7.3,1.6,0
EMP-00158,Customer Success,Mid,Full-time,On-site,37,5.1,69700,4.0,6.8,6.6,1.0,2,8.7,5.3,5.9,6.7,5.4,0
EMP-00159,Engineering,Entry,Full-time,Hybrid,33,2.9,56500,9.5,15.9,6.9,1.6,1,27.9,5.6,6.9,6.4,6.1,0
EMP-00160,Operations,Manager,Full-time,Hybrid,40,6.6,102200,7.0,17.6,8.9,2.1,1,25.2,6.8,5.2,6.9,9.8,1
EMP-00161,Finance,Senior,Full-time,Hybrid,34,5.0,84100,5.6,0.0,5.9,0.3,1,34.6,9.1,7.2,6.8,4.4,0
EMP-00162,Customer Success,Entry,Full-time,Hybrid,27,1.4,30000,8.5,14.3,5.5,0.1,0,11.6,4.2,2.9,6.1,7.1,1
EMP-00163,Sales,Senior,Full-time,Remote,37,9.2,84300,2.4,10.3,6.2,6.7,2,38.7,5.7,7.6,6.7,5.4,0
EMP-00164,Operations,Mid,Full-time,On-site,26,1.6,47400,7.7,14.8,6.4,0.1,0,17.0,6.5,5.9,6.2,9.1,0
EMP-00165,Sales,Entry,Full-time,Remote,25,3.0,50500,7.1,13.8,8.4,0.1,0,17.7,6.1,4.3,5.9,14.3,0
EMP-00166,Engineering,Entry,Full-time,On-site,25,3.8,56300,8.5,25.2,9.5,1.3,2,33.5,4.8,5.3,4.2,0.9,1
EMP-00167,HR,Mid,Full-time,Hybrid,34,3.1,66200,7.1,9.9,6.8,0.1,0,16.4,6.2,6.1,4.8,5.5,0
EMP-00168,Engineering,Mid,Full-time,Hybrid,39,6.8,56200,5.8,6.2,4.6,5.8,1,17.6,7.6,5.6,5.1,13.5,0
EMP-00169,Engineering,Manager,Part-time,On-site,34,5.8,121700,8.1,14.3,7.5,2.7,1,41.5,6.4,8.5,10.0,6.9,0
EMP-00170,Customer Success,Mid,Full-time,Hybrid,29,3.7,58800,7.5,14.0,7.0,0.1,1,0.0,6.5,7.0,5.7,4.4,0
EMP-00171,Engineering,Mid,Full-time,On-site,40,4.2,80300,5.5,4.1,7.3,0.8,2,33.5,7.0,7.1,4.6,7.9,0
EMP-00172,Sales,Senior,Full-time,Hybrid,40,5.0,76700,2.9,0.0,5.9,3.2,1,22.3,5.7,5.2,5.9,5.5,0
EMP-00173,Finance,Mid,Full-time,Hybrid,36,5.8,70900,6.1,9.6,7.1,3.4,1,27.1,7.5,6.5,7.6,5.2,0
EMP-00174,HR,Mid,Full-time,Remote,43,5.1,66100,7.5,21.3,6.7,0.9,1,31.0,5.9,5.0,6.5,8.3,0
EMP-00175,HR,Entry,Full-time,Hybrid,21,2.4,51200,6.6,0.0,8.7,0.1,0,37.6,7.5,5.7,6.7,6.1,0
EMP-00176,Engineering,Senior,Part-time,On-site,32,5.7,92000,5.5,9.5,6.7,2.5,1,29.4,8.2,7.7,7.9,4.7,0
EMP-00177,Operations,Senior,Full-time,On-site,38,5.4,80800,5.8,5.3,6.6,1.8,1,34.0,7.3,7.5,7.1,11.1,0
EMP-00178,Engineering,Mid,Full-time,Hybrid,22,3.2,58100,6.2,11.9,7.3,0.1,0,21.5,6.6,5.8,7.0,2.0,0
EMP-00179,Operations,Mid,Full-time,Remote,33,6.2,40500,7.2,16.0,4.1,4.0,1,20.6,7.1,6.2,7.4,8.3,0
EMP-00180,Sales,Mid,Full-time,Hybrid,27,3.2,51700,9.2,4.9,6.5,0.1,0,25.6,4.6,5.4,4.3,6.8,0
EMP-00181,Marketing,Senior,Full-time,Remote,32,3.6,99200,6.0,3.6,7.4,2.9,1,34.2,5.9,6.3,6.0,10.4,0
EMP-00182,Marketing,Senior,Full-time,Hybrid,46,9.7,87200,5.6,12.0,4.7,5.9,2,26.7,5.3,6.6,8.7,5.2,0
EMP-00183,Operations,Senior,Full-time,On-site,39,8.0,79300,6.1,4.6,5.2,5.9,2,20.4,6.5,6.8,7.0,10.3,0
EMP-00184,HR,Mid,Full-time,On-site,38,6.7,58600,6.1,14.4,7.2,4.8,2,32.0,6.1,6.5,7.5,3.3,0
